[+] hooked kernel32.dll!CreateFileA @ 0x7700e9f0
[+] hooked kernel32.dll!CreateFileW @ 0x7700ea00
[filetrace] ready, t0 set
[0.070s] OPEN CreateFileW  Bin\xx_plants.gzp
[0.070s] OPEN CreateFileA  Bin\xx_plants.gzp
[0.071s] OPEN CreateFileW  Bin\xx_ptree.gzp
[0.071s] OPEN CreateFileA  Bin\xx_ptree.gzp
[0.071s] OPEN CreateFileW  Bin\xx_raik.gzp
[0.071s] OPEN CreateFileA  Bin\xx_raik.gzp
[0.072s] OPEN CreateFileW  Bin\xx_reaperlev1.gzp
[0.072s] OPEN CreateFileA  Bin\xx_reaperlev1.gzp
[0.073s] OPEN CreateFileW  Bin\xx_reaperman.gzp
[0.073s] OPEN CreateFileA  Bin\xx_reaperman.gzp
[0.075s] OPEN CreateFileW  Bin\xx_reaper_base.gzp
[0.075s] OPEN CreateFileA  Bin\xx_reaper_base.gzp
[0.077s] OPEN CreateFileW  Bin\xx_reaper_flick.gzp
[0.077s] OPEN CreateFileA  Bin\xx_reaper_flick.gzp
[0.077s] OPEN CreateFileW  Bin\xx_reaper_ship.gzp
[0.077s] OPEN CreateFileA  Bin\xx_reaper_ship.gzp
[0.077s] OPEN CreateFileW  Bin\xx_reaper_spells.gzp
[0.077s] OPEN CreateFileA  Bin\xx_reaper_spells.gzp
[0.078s] OPEN CreateFileW  Bin\xx_ripper.gzp
[0.078s] OPEN CreateFileA  Bin\xx_ripper.gzp
[0.078s] OPEN CreateFileW  Bin\xx_rocks.gzp
[0.078s] OPEN CreateFileA  Bin\xx_rocks.gzp
[0.078s] OPEN CreateFileW  Bin\xx_rpman_weapons.gzp
[0.078s] OPEN CreateFileA  Bin\xx_rpman_weapons.gzp
[0.079s] OPEN CreateFileW  Bin\xx_rpqueen.gzp
[0.079s] OPEN CreateFileA  Bin\xx_rpqueen.gzp
[0.079s] OPEN CreateFileW  Bin\xx_rpqueen_flick.gzp
[0.079s] OPEN CreateFileA  Bin\xx_rpqueen_flick.gzp
[0.079s] OPEN CreateFileW  Bin\xx_rstory3.gzp
[0.079s] OPEN CreateFileA  Bin\xx_rstory3.gzp
[0.079s] OPEN CreateFileW  Bin\xx_rstory4.gzp
[0.080s] OPEN CreateFileA  Bin\xx_rstory4.gzp
[0.080s] OPEN CreateFileW  Bin\xx_rstory5.gzp
[0.080s] OPEN CreateFileA  Bin\xx_rstory5.gzp
[0.080s] OPEN CreateFileW  Bin\xx_seamonster.gzp
[0.080s] OPEN CreateFileA  Bin\xx_seamonster.gzp
[0.081s] OPEN CreateFileW  Bin\xx_shadows.gzp
[0.081s] OPEN CreateFileA  Bin\xx_shadows.gzp
[0.081s] OPEN CreateFileW  Bin\xx_smartie.gzp
[0.081s] OPEN CreateFileA  Bin\xx_smartie.gzp
[0.081s] OPEN CreateFileW  Bin\xx_smartie_stuff.gzp
[0.081s] OPEN CreateFileA  Bin\xx_smartie_stuff.gzp
[0.083s] OPEN CreateFileW  Bin\xx_smartie_stuff_lite.gzp
[0.083s] OPEN CreateFileA  Bin\xx_smartie_stuff_lite.gzp
[0.083s] OPEN CreateFileW  Bin\xx_smartie_stuff_multi.gzp
[0.083s] OPEN CreateFileA  Bin\xx_smartie_stuff_multi.gzp
[0.083s] OPEN CreateFileW  Bin\xx_smborjoyzee.gzp
[0.083s] OPEN CreateFileA  Bin\xx_smborjoyzee.gzp
[0.083s] OPEN CreateFileW  Bin\xx_smborjoyzee_flick.gzp
[0.083s] OPEN CreateFileA  Bin\xx_smborjoyzee_flick.gzp
[0.084s] OPEN CreateFileW  Bin\xx_smdoomed.gzp
[0.084s] OPEN CreateFileA  Bin\xx_smdoomed.gzp
[0.084s] OPEN CreateFileW  Bin\xx_smfemale.gzp
[0.084s] OPEN CreateFileA  Bin\xx_smfemale.gzp
[0.084s] OPEN CreateFileW  Bin\xx_smtimmy.gzp
[0.084s] OPEN CreateFileA  Bin\xx_smtimmy.gzp
[0.085s] OPEN CreateFileW  Bin\xx_smtimmy_flick.gzp
[0.085s] OPEN CreateFileA  Bin\xx_smtimmy_flick.gzp
[0.085s] OPEN CreateFileW  Bin\xx_smyan.gzp
[0.085s] OPEN CreateFileA  Bin\xx_smyan.gzp
[0.085s] OPEN CreateFileW  Bin\xx_smyan_flick.gzp
[0.085s] OPEN CreateFileA  Bin\xx_smyan_flick.gzp
[0.085s] OPEN CreateFileW  Bin\xx_smyan_pagoda.gzp
[0.085s] OPEN CreateFileA  Bin\xx_smyan_pagoda.gzp
[0.085s] OPEN CreateFileW  Bin\xx_sm_book.gzp
[0.085s] OPEN CreateFileA  Bin\xx_sm_book.gzp
[0.086s] OPEN CreateFileW  Bin\xx_sm_evil.gzp
[0.086s] OPEN CreateFileA  Bin\xx_sm_evil.gzp
[0.086s] OPEN CreateFileW  Bin\xx_snowtree.gzp
[0.086s] OPEN CreateFileA  Bin\xx_snowtree.gzp
[0.087s] OPEN CreateFileW  Bin\xx_snow_stuff.gzp
[0.087s] OPEN CreateFileA  Bin\xx_snow_stuff.gzp
[0.087s] OPEN CreateFileW  Bin\xx_sonak.gzp
[0.087s] OPEN CreateFileA  Bin\xx_sonak.gzp
[0.087s] OPEN CreateFileW  Bin\xx_story1.gzp
[0.087s] OPEN CreateFileA  Bin\xx_story1.gzp
[0.087s] OPEN CreateFileW  Bin\xx_story4.gzp
[0.087s] OPEN CreateFileA  Bin\xx_story4.gzp
[0.088s] OPEN CreateFileW  Bin\xx_theend.gzp
[0.088s] OPEN CreateFileA  Bin\xx_theend.gzp
[0.088s] OPEN CreateFileW  Bin\xx_toby.gzp
[0.088s] OPEN CreateFileA  Bin\xx_toby.gzp
[0.088s] OPEN CreateFileW  Bin\xx_tools.gzp
[0.088s] OPEN CreateFileA  Bin\xx_tools.gzp
[0.089s] OPEN CreateFileW  Bin\xx_verm.gzp
[0.089s] OPEN CreateFileA  Bin\xx_verm.gzp
[0.089s] OPEN CreateFileW  Bin\xx_vimp.gzp
[0.089s] OPEN CreateFileA  Bin\xx_vimp.gzp
[0.089s] OPEN CreateFileW  Bin\xx_water_rings.gzp
[0.089s] OPEN CreateFileA  Bin\xx_water_rings.gzp
[0.091s] OPEN CreateFileW  G:\Games\Giants\Bin\arpfix.gzp
[0.091s] OPEN CreateFileA  G:\Games\Giants\Bin\arpfix.gzp
[0.091s] OPEN CreateFileW  G:\Games\Giants\Bin\VO_SfxEnglish.gzp
[0.091s] OPEN CreateFileA  G:\Games\Giants\Bin\VO_SfxEnglish.gzp
[0.091s] OPEN CreateFileW  G:\Games\Giants\Bin\xx_patch_screens.gzp
[0.091s] OPEN CreateFileA  G:\Games\Giants\Bin\xx_patch_screens.gzp
[0.098s] OPEN CreateFileW  Music\mlb\mlb_a2.raw
[0.099s] OPEN CreateFileA  Music\mlb\mlb_a2.raw
[0.099s] OPEN CreateFileW  Bin\GameObj.bin
[0.099s] OPEN CreateFileA  Bin\GameObj.bin
[0.099s] OPEN CreateFileW  Bin\extra.gzp
[0.099s] OPEN CreateFileA  Bin\extra.gzp
[0.100s] OPEN CreateFileW  Bin\GData.gbn
[0.100s] OPEN CreateFileA  Bin\GData.gbn
[0.100s] OPEN CreateFileW  Bin\WorldList.bin
[0.100s] OPEN CreateFileA  Bin\WorldList.bin
[0.100s] OPEN CreateFileW  Bin\w_intro.bin
[0.100s] OPEN CreateFileA  Bin\w_intro.bin
[0.103s] OPEN CreateFileW  Bin\xx_intro.bin
[0.103s] OPEN CreateFileA  Bin\xx_intro.bin
[0.103s] OPEN CreateFileW  Bin\xx_menus.bin
[0.103s] OPEN CreateFileA  Bin\xx_menus.bin
[0.103s] OPEN CreateFileW  Bin\xx_menus.gzp
[0.103s] OPEN CreateFileA  Bin\xx_menus.gzp
[0.104s] OPEN CreateFileW  Bin\xx_intro.gzp
[0.104s] OPEN CreateFileA  Bin\xx_intro.gzp
[0.105s] OPEN CreateFileW  Bin\weapondefs.bin
[0.105s] OPEN CreateFileA  Bin\weapondefs.bin
[0.112s] OPEN CreateFileW  G:\GiantsRE\GameFiles-VanillaV1\Giants_nocd.exe
[0.112s] OPEN CreateFileA  G:\GiantsRE\GameFiles-VanillaV1\Giants_nocd.exe
[0.119s] FAIL CreateFileW  \\.\pipe\AMD-Developer-Service
[0.131s] OPEN CreateFileW  \\.\AmdLog
[0.131s] OPEN CreateFileA  \\.\AmdLog
[0.131s] FAIL CreateFileW  \\.\pipe\AMD-Developer-Service
[0.146s] FAIL CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.0.parc
[0.146s] OPEN CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.0.parc
[0.146s] FAIL CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.1.parc
[0.184s] OPEN CreateFileW  G:\GiantsRE\GameFiles-VanillaV1\Giants_nocd.exe
[0.184s] OPEN CreateFileA  G:\GiantsRE\GameFiles-VanillaV1\Giants_nocd.exe
[0.187s] FAIL CreateFileW  \\.\pipe\AMD-Developer-Service
[0.201s] OPEN CreateFileW  \\.\AmdLog
[0.201s] OPEN CreateFileA  \\.\AmdLog
[0.201s] FAIL CreateFileW  \\.\pipe\AMD-Developer-Service
[0.215s] FAIL CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.0.parc
[0.215s] OPEN CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.0.parc
[0.216s] FAIL CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.1.parc
[0.244s] OPEN CreateFileW  G:\GiantsRE\GameFiles-VanillaV1\Giants_nocd.exe
[0.244s] OPEN CreateFileA  G:\GiantsRE\GameFiles-VanillaV1\Giants_nocd.exe
[0.248s] FAIL CreateFileW  \\.\pipe\AMD-Developer-Service
[0.261s] OPEN CreateFileW  \\.\AmdLog
[0.261s] OPEN CreateFileA  \\.\AmdLog
[0.261s] FAIL CreateFileW  \\.\pipe\AMD-Developer-Service
[0.276s] FAIL CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.0.parc
[0.276s] OPEN CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.0.parc
[0.276s] FAIL CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.1.parc
[0.314s] OPEN CreateFileW  G:\GiantsRE\GameFiles-VanillaV1\Giants_nocd.exe
[0.314s] OPEN CreateFileA  G:\GiantsRE\GameFiles-VanillaV1\Giants_nocd.exe
[0.317s] FAIL CreateFileW  \\.\pipe\AMD-Developer-Service
[0.329s] OPEN CreateFileW  \\.\AmdLog
[0.329s] OPEN CreateFileA  \\.\AmdLog
[0.329s] FAIL CreateFileW  \\.\pipe\AMD-Developer-Service
[0.341s] FAIL CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.0.parc
[0.341s] OPEN CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.0.parc
[0.342s] FAIL CreateFileW  C:\Users\Judi\AppData\Local\AMD\DX9Cache\1cb0b225366fd56f.a2679c4002295fa4.d1b2dbce.2e8b3bbc.1.parc
[0.360s] OPEN CreateFileW  G:\GiantsRE\GameFiles-VanillaV1\Giants_nocd.exe
[0.424s] OPEN CreateFileW  Bin\MusicSet.bin
[0.424s] OPEN CreateFileA  Bin\MusicSet.bin
[0.618s] OPEN CreateFileW  Bin\GTextEnglish.bin
[0.618s] OPEN CreateFileA  Bin\GTextEnglish.bin
[0.622s] OPEN CreateFileW  C:\WINDOWS\INF\keyboard.PNF
[0.622s] FAIL CreateFileW  \\?\hid#hid&col04#1&2d595ca7&0&0003#{4d1e55b2-f16f-11cf-88cb-001111000030}\kbd
[0.622s] OPEN CreateFileW  C:\WINDOWS\INF\input.PNF
[0.623s] FAIL CreateFileW  \\?\hid#vid_046d&pid_c548&mi_03#a&8b82b36&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.623s] OPEN CreateFileW  C:\WINDOWS\INF\input.PNF
[0.623s] OPEN CreateFileW  \\?\hid#hid&col05#1&2d595ca7&0&0004#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.625s] OPEN CreateFileW  C:\WINDOWS\INF\input.PNF
[0.625s] OPEN CreateFileW  \\?\hid#vid_046d&pid_c548&mi_02&col01#a&2c8f68f8&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.626s] OPEN CreateFileW  C:\WINDOWS\INF\input.PNF
[0.626s] OPEN CreateFileW  \\?\hid#vid_046d&pid_c548&mi_02&col02#a&2c8f68f8&0&0001#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.626s] OPEN CreateFileW  C:\WINDOWS\INF\msmouse.PNF
[0.627s] FAIL CreateFileW  \\?\hid#vid_2708&pid_0003&rev_0100&mi_04#a&1896854a&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.627s] OPEN CreateFileW  C:\WINDOWS\INF\keyboard.PNF
[0.627s] FAIL CreateFileW  \\?\hid#vid_046d&pid_c548&mi_00#a&148c8776&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}\kbd
[0.628s] OPEN CreateFileW  C:\WINDOWS\INF\input.PNF
[0.628s] OPEN CreateFileW  \\?\hid#vid_1462&pid_7c37#9&395cdb39&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.628s] OPEN CreateFileW  C:\WINDOWS\INF\oem111.PNF
[0.629s] FAIL CreateFileW  \\?\hid#vid_1532&pid_0099&mi_00#9&339315aa&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.629s] OPEN CreateFileW  C:\WINDOWS\INF\hidserv.PNF
[0.629s] OPEN CreateFileW  \\?\hid#vid_1ca2&pid_160f&mi_01&col02#a&224eb720&0&0001#{4d1e55b2-f16f-11cf-88cb-001111000030}
