total rows scanned: 3996551
Giants.exe events: 14037

== operations ==
 11032  ReadFile
   38  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_lander.gzp
   36  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_menus.gzp
   34  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_rocks.gzp
   30  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\w_M_3WAY_L3.gzp
   30  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\w_Story3.gzp
   30  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_guard_army_barracks.gzp
   30  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_intro.gzp
   30  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_pier.gzp
   30  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_rstory3.gzp
   28  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\aanoeng.gzp
   28  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_reaper_ship.gzp
   28  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_smyan_pagoda.gzp
   26  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\aablood.gzp
   26  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_dactyl.gzp
   26  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_jetski_rpm.gzp
   24  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_guard_drawbridge.gzp
   22  C:\Windows\apppatch\01DD2F5D1D1D6508.sysmain.sdb
   22  C:\Windows\SysWOW64\windows.storage.dll
   22  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\w_Story2.gzp
   22  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_giants_logo_3d.gzp
   22  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_kstory5.gzp
   21  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Giants.exe
   21  C:\Windows\SysWOW64\uxtheme.dll
   21  C:\Windows\SysWOW64\ntmarta.dll
   21  C:\Windows\SysWOW64\cfgmgr32.dll
   21  C:\Windows\SysWOW64\srvcli.dll
   21  C:\Windows\SysWOW64\netutils.dll

== LAST 60 events (stall point) ==
04:31:51,3339599 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2656250 seconds
04:31:52,3298034 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2656250 seconds
04:31:53,3310971 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2656250 seconds
04:31:54,3355564 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2656250 seconds
04:31:55,3377572 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2656250 seconds
04:31:56,3400971 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2656250 seconds
04:31:57,3319928 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2656250 seconds
04:31:58,3377006 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2656250 seconds
04:31:59,3384172 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2656250 seconds
04:32:00,3380866 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:01,3415049 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:02,3389672 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:03,3393375 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:04,3276120 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:05,3300616 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:06,3386707 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:07,3368236 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:08,3363346 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:09,3263372 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:10,3271588 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:11,3298867 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:12,3297207 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:13,3404758 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:14,3261218 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:15,3394816 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:16,3364541 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:17,3351920 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
