addr,size,kind,bind,section,demangled,mangled
0x00000265,0,NOTYPE,STB_LOCAL,SHN_ABS,t_16MxyzwToF,t_16MxyzwToF
0x00000269,0,NOTYPE,STB_LOCAL,SHN_ABS,t_CRC_I6,t_CRC_I6
0x0000026d,0,NOTYPE,STB_LOCAL,SHN_ABS,t_CRC_I9,t_CRC_I9
0x00000271,0,NOTYPE,STB_LOCAL,SHN_ABS,t_dblParam,t_dblParam
0x00000275,0,NOTYPE,STB_LOCAL,SHN_ABS,t_f5to8ToMxyzw,t_f5to8ToMxyzw
0x00000278,0,NOTYPE,STB_LOCAL,4,v1c_break,v1c_break
0x00000279,0,NOTYPE,STB_LOCAL,SHN_ABS,t_usWdToM,t_usWdToM
0x0000027d,0,NOTYPE,STB_LOCAL,SHN_ABS,t_setMem_getDbl,t_setMem_getDbl
0x00000281,0,NOTYPE,STB_LOCAL,SHN_ABS,t_setMem_getDbl_,t_setMem_getDbl_
0x00000285,0,NOTYPE,STB_LOCAL,SHN_ABS,t_getU32,t_getU32
0x00000289,0,NOTYPE,STB_LOCAL,SHN_ABS,t_kabuto_bncI2,t_kabuto_bncI2
0x0000028d,0,NOTYPE,STB_LOCAL,SHN_ABS,m_alphaInGsads,m_alphaInGsads
0x00000291,0,NOTYPE,STB_LOCAL,SHN_ABS,t_2ByteParamToI1,t_2ByteParamToI1
0x00000295,0,NOTYPE,STB_LOCAL,SHN_ABS,m_CRC_cleave_k,m_CRC_cleave_k
0x00000295,0,NOTYPE,STB_LOCAL,SHN_ABS,t_kmb_frntFaceWind,t_kmb_frntFaceWind
0x00000296,0,NOTYPE,STB_LOCAL,SHN_ABS,m_bgnd_dcmd_qwd,m_bgnd_dcmd_qwd
0x00000297,0,NOTYPE,STB_LOCAL,SHN_ABS,m_bgnd_fp_bias_in,m_bgnd_fp_bias_in
0x00000298,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_gifBuf1,v1m_gifBuf1
0x00000298,0,NOTYPE,STB_LOCAL,12,blendAnims_,blendAnims_
0x00000299,0,NOTYPE,STB_LOCAL,SHN_ABS,t_kmb_frntFaceI4,t_kmb_frntFaceI4
0x0000029d,0,NOTYPE,STB_LOCAL,SHN_ABS,m_rndrLoopTbl,m_rndrLoopTbl
